# Turkish skill summaries for README.tr.md — build-time DATA, NOT part of the always-on payload,
# so it does not count against the SKILL.md frontmatter byte budget. Single source for the TR table:
# build-readme-catalog.sh reads this for README.tr.md (English comes from each SKILL.md). Format: name<TAB>summary.
# --check FAILS if any skill lacks a line here — that is the drift gate. One line per skill, no tabs inside a summary.
a11y	Frontend erişilebilirlik denetimi (WCAG): anlamsal HTML, klavye erişimi, odak yönetimi, kontrast, ARIA, ekran okuyucular.
adr	Mimari Karar Kaydı: bağlam-karar-sonuç; geri dönüşü pahalı kararlar için.
api-design	API sözleşme tasarımı: kaynak adlandırma, hata modeli, sürümleme, sayfalama, geriye dönük uyumluluk, OpenAPI.
brainstorm	Planlamadan ÖNCE ıraksak keşif: bulanık isteği 2–4 kapsamlı seçenek + adlandırılmış bilinmezlere çevir, bir yön seç, spec-planning'e devret.
ci-pipeline	CI hattı disiplini: lint→build→test→kalite→güvenlik, hızlı-başarısızlık, deterministik derleme, secret yönetimi, PR kapıları.
code-review	Kod inceleme disiplini: önem sırasına dizili, gerekçeli geri bildirim — değişiklik sistemin genel kod sağlığını iyileştiriyor mu.
commit-message	Conventional Commits: staged diff'i okur, `type(scope): özet` önerir; gerektiğinde gövde/footer ekler.
db-migration	Şema göçlerini güvenle uygula: aracı sapta, değişikliği riske göre sınıfla, yıkıcı olanları onaya bağla, prod'da yedekle, önizle-uygula-doğrula, hatada geri al.
dependency-audit	Bağımlılık denetimi: bilinen CVE'ler, lisans uyumu, terk edilmiş/eski paketler, lockfile bütünlüğü ve her yeni bağımlılık için gerekçe.
devarch-module	DevArchitecture backend deseni: MediatR CQRS handler/command/query, IResult/IDataResult, Autofac AOP zinciri, FluentValidation, i18n.
docs-writer	Dokümantasyonu kodla eşzamanlı tutar: public API veya davranış değişince README, kullanım ve ilgili dokümanlar.
frontend-rn-expo	OPSİYONEL, yığına özel: React Native + Expo (prebuild).
frontend	Yığından bağımsız frontend disiplini (web · mobil · masaüstü): bileşen yapısı, state, veri çekme, loading/empty/error durumları, i18n, erişilebilirlik, performans.
